libbsd0:arm64	0.12.2-3	installed
libbytesize-common	2.12-3	installed
libbytesize1:arm64	2.12-3	installed
libbz2-1.0:arm64	1.0.8-6build2	installed
libc-bin	2.44-1ubuntu1	installed
libc-dev-bin	2.44-1ubuntu1	installed
libc-gconv-modules-extra:arm64	2.44-1ubuntu1	installed
libc6:arm64	2.44-1ubuntu1	installed
libc6-dbg:arm64	2.44-1ubuntu1	installed
libc6-dev:arm64	2.44-1ubuntu1	installed
libcaca0:arm64	0.99.beta20-8	installed
libcairo-gobject-perl	1.005-4build4	installed
libcairo-gobject2:arm64	1.18.4-3	installed
libcairo-perl	1.109-5build1	installed
libcairo-script-interpreter2:arm64	1.18.4-3	installed
libcairo2:arm64	1.18.4-3	installed
libcairomm-1.16-1:arm64	1.18.1-1	installed
libcamel-1.2-64t64:arm64	3.56.2-8	installed
libcamera-ipa:arm64	0.7.0-1ubuntu2	installed
libcamera-v4l2:arm64	0.7.0-1ubuntu2	installed
libcamera0.7:arm64	0.7.0-1ubuntu2	installed
libcanberra-gtk3-0:arm64	0.30-20buntu1	installed
libcanberra-gtk3-module:arm64	0.30-20buntu1	installed
libcanberra-pulse:arm64	0.30-20buntu1	installed
libcanberra0:arm64	0.30-20buntu1	installed
libcap-ng0:arm64	0.9.3-1	installed
libcap2:arm64	1:2.78-1ubuntu1	installed
libcap2-bin	1:2.78-1ubuntu1	installed
libcares2:arm64	1.34.8-1	installed
libcbor0.10:arm64	0.10.2-2.1ubuntu1	installed
libcc1-0:arm64	16.2.0-2ubuntu1	installed
libcdio-cdda2t64:arm64	10.2+2.0.2-2	installed
libcdio-paranoia2t64:arm64	10.2+2.0.2-2	installed
libcdio19t64:arm64	2.2.0-4.1	installed
libcdparanoia0:arm64	3.10.2+debian-14ubuntu2	installed
libcdr-0.1-1:arm64	0.1.9-1	installed
libchewing3:arm64	0.13.1-1	installed
libchewing3-data	0.13.1-1	installed
libchromaprint1:arm64	1.6.1-1	installed
libcjson1:arm64	1.7.19-2	installed
libclang-21-dev	1:21.1.8-6ubuntu1	installed
libclang-common-21-dev:arm64	1:21.1.8-6ubuntu1	installed
libclang-cpp21	1:21.1.8-6ubuntu1	installed
libclang-dev	1:21.1.6-71	installed
libclang1-21	1:21.1.8-6ubuntu1	installed
libcli11-dev	2.6.1+ds-1	installed
libclone-perl:arm64	0.50-1	installed
libclucene-contribs1t64:arm64	2.3.3.4+dfsg-2	installed
libclucene-core1t64:arm64	2.3.3.4+dfsg-2	installed
libcodec2-1.2:arm64	1.2.0-5	installed
libcolamd3:arm64	1:7.12.2+dfsg-1ubuntu1	installed
libcolord-gtk4-1t64:arm64	0.3.1-2	installed
libcolord2:arm64	1.4.8-3	installed
libcolorhug2:arm64	1.4.8-3	installed
libcom-err2:arm64	1.47.4-1	installed
libcrack2:arm64	2.9.6-5.3	installed
libcrypt-urandom-perl	0.55-1	installed
libcrypt1:arm64	1:4.5.2+20251210-1	installed
libcryptsetup12:arm64	2:2.8.7-1ubuntu2	installed
libctf-nobfd0:arm64	2.47-6ubuntu1	installed
libctf0:arm64	2.47-6ubuntu1	installed
libcue2:arm64	2.2.1-4.2	installed
libcups2t64:arm64	2.4.16-1ubuntu3	installed
libcupsfilters2-common	2.1.1-0ubuntu5	installed
libcupsfilters2t64:arm64	2.1.1-0ubuntu5	installed
libcupsimage2t64:arm64	2.4.16-1ubuntu3	installed
libcurl3t64-gnutls:arm64	8.20.0-2ubuntu3	installed
libcurl4t64:arm64	8.20.0-2ubuntu3	installed
libdaemon0:arm64	0.14-7.1ubuntu5	installed
libdata-dump-perl	1.25-1	installed
libdatrie1:arm64	0.2.14-2	installed
libdav1d7:arm64	1.5.4-1	installed
libdb5.3t64:arm64	5.3.28+dfsg2-11	installed
libdbus-1-3:arm64	1.16.2-5ubuntu2	installed
libdbusmenu-glib4:arm64	18.10.20180917~bzr492+repack1-4build1	installed
libdbusmenu-gtk3-4:arm64	18.10.20180917~bzr492+repack1-4build1	installed
libdc1394-25:arm64	2.2.6-6	installed
libdconf1:arm64	0.49.0-4	installed
libdebconfclient0:arm64	0.280ubuntu1	installed
libdebuginfod-common	0.196-1	installed
libdebuginfod1t64:arm64	0.196-1	installed
libdecor-0-0:arm64	0.2.5-1	installed
libdecor-0-plugin-1-gtk:arm64	0.2.5-1	installed
libdee-1.0-4:arm64	1.2.7+17.10.20170616-8build1	installed
libdeflate0:arm64	1.25-1ubuntu1	installed
libdevmapper1.02.1:arm64	2:1.02.205-2ubuntu4	installed
libdex-1-1:arm64	1.2~beta-2	installed
libdhash1t64:arm64	0.7.0-2	installed
libdislocker0.7t64	0.7.3+git20250907-1	installed
libdisplay-info3:arm64	0.3.0-1	installed
libdjvulibre-text	3.5.30-1	installed
libdjvulibre21:arm64	3.5.30-1	installed
